傲岸不群	aabq
女中豪杰	nvhj
鸟之将死	nvjs
闹中取静	nvqj
扭转乾坤	nvqk
年终岁尾	nvsw
能征善战	nvuv
囊中之物	nvvw
你争我夺	nvwd
你追我赶	nvwg
你知我知	nvwv
囊中羞涩	nvxs
浓妆艳抹	nvym
你中有我	nvyw
女娲补天	nwbt
内外勾结	nwgj
内外夹攻	nwjg
内外兼修	nwjx
能文能武	nwnw
鸟为食亡	nwsw
鸟为食亡	nwuw
逆我者亡	nwvw
宁为玉碎	nwys
逆我者亡	nwzw
恼羞成怒	nxcn
内心独白	nxdb
恼羞成怒	nxin
难兄难弟	nxnd
那些日子	nxrz
内心深处	nxsc
逆向思维	nxsw
内心深处	nxui
怒形于色	nxys
弄虚作假	nxzj
捏一把汗	nybh
难以避免	nybm
南辕北辙	nybv
奴颜婢膝	nybx
南辕北辙	nybz
弄月嘲风	nycf
那一刹那	nycn
难以承受	nycs
匿影藏形	nycx
那样的话	nydh
农业大学	nydx
难以改变	nygb
浓烟滚滚	nygg
难以估量	nygl
难以割舍	nygs
难以割舍	nygu
年逾古稀	nygx
鸟语花香	nyhx
弄月嘲风	nyif
那一刹那	nyin
难以承受	nyiu
难以解决	nyjj
娘要嫁人	nyjr
难以接受	nyjs
难以接受	nyju
难以抗拒	nykj
难以理解	nylj
奴颜媚骨	nymg
难以磨灭	nymm
难以名状	nymv
讷言敏行	nymx
难以名状	nymz
难以启齿	nyqc
难以启齿	nyqi
难以企及	nyqj
匿影潜形	nyqx
难以忍受	nyrs
难以忍受	nyru
能言善辩	nysb
能言善辩	nyub
牛羊猪狗	nyvg
宁有种乎	nyvh
难以捉摸	nyvm
难以置信	nyvx
难言之隐	nyvy
内忧外患	nywh
难以为继	nywj
农业文明	nywm
你以为呢	nywn
年幼无知	nywv
年幼无知	nywz
难以形容	nyxr
奶油小生	nyxs
奶油小生	nyxu
难以想象	nyxx
难以下咽	nyxy
农业银行	nyyh
难以预料	nyyl
难以言说	nyys
难以言说	nyyu
难以言状	nyyv
囊萤映雪	nyyx
难以言喻	nyyy
难以言状	nyyz
难以自拔	nyzb
牛羊猪狗	nyzg
宁有种乎	nyzh
难以捉摸	nyzm
难以置信	nyzx
难言之隐	nyzy
难以自抑	nyzy
难者不会	nzbh
宁折不弯	nzbw
南征北战	nzbz
能者多劳	nzdl
浓妆淡抹	nzdm
女中豪杰	nzhj
脑子进水	nzjs
鸟之将死	nzjs
宁做鸡头	nzjt
脑子进水	nzju
男尊女卑	nznb
男左女右	nzny
闹中取静	nzqj
扭转乾坤	nzqk
年终岁尾	nzsw
泥足深陷	nzsx
能征善战	nzsz
挪作他用	nzty
泥足深陷	nzux
你争我夺	nzwd
你追我赶	nzwg
你知我知	nzwz
囊中羞涩	nzxs
浓妆艳抹	nzym
黏在一起	nzyq
你中有我	nzyw
囊中之物	nzzw
念兹在兹	nzzz
藕断丝连	odsl
嗯呐嗯呐	onon
呕心沥血	oxlx
欧亚大陆	oydl
偶一为之	oywv
偶一为之	oywz
拍案而起	paeq
拍案叫绝	pajj
平安无事	paws
平安无事	pawu
平安喜乐	paxl
偏安一隅	payy
疲惫不堪	pbbk
排兵布阵	pbbv
排兵布阵	pbbz
拍板成交	pbcj
平板电脑	pbdn
迫不得已	pbdy
喷薄而出	pbec
喷薄而出	pbei
扑鼻而来	pbel
蓬勃发展	pbfv
蓬勃发展	pbfz
拍板成交	pbij
迫不及待	pbjd
贫病交加	pbjj
跑不了庙	pblm
漂不漂亮	pbpl
平步青云	pbqy
蓬荜生辉	pbsh
蓬勃生机	pbsj
蓬荜生辉	pbuh
蓬勃生机	pbuj
蓬勃朝气	pbvq
漂泊无定	pbwd
平白无故	pbwg
蓬勃向上	pbxs
蓬勃向上	pbxu
喷薄欲出	pbyc
喷薄欲出	pbyi
蓬荜增辉	pbzh
蓬勃朝气	pbzq
派出机构	pcjg
破除迷信	pcmx
骗吃骗喝	pcph
骗财骗色	pcps
皮糙肉厚	pcrh
鹏程万里	pcwl
排除万难	pcwn
破财消灾	pcxz
普渡慈航	pdch
平地而起	pdeq
平地风波	pdfb
平等互利	pdhl
庖丁解牛	pdjn
跑断了腿	pdlt
抛到脑后	pdnh
跑东跑西	pdpx
平淡无奇	pdwq
平等相待	pdxd
怕得要死	pdys
破而后立	pehl
贫富差距	pfcj
破釜沉舟	pfcz
捧腹大笑	pfdx
贫富分化	pffh
皮肤过敏	pfgm
蚍蜉撼树	pfhs
蚍蜉撼树	pfhu
贫富差距	pfij
破釜沉舟	pfiv
泼妇骂街	pfmj
佩服佩服	pfpf
平分秋色	pfqs
抛夫弃子	pfqz
颇费周折	pfvv
平反昭雪	pfvx
匹夫之勇	pfvy
匹夫无罪	pfwz
浦发银行	pfyh
匹夫有责	pfyz
平反昭雪	pfzx
匹夫之勇	pfzy
颇费周折	pfzz
捧高踩低	pgcd
盘根错节	pgcj
刨根究底	pgjd
屁滚尿流	pgnl
破罐破摔	pgps
破罐破摔	pgpu
捧个人场	pgrc
捧个人场	pgri
爬高上低	pgsd
披挂上阵	pgsz
爬高上低	pgud
披挂上阵	pguv
旁观者清	pgvq
刨根问底	pgwd
旁观者清	pgzq
派出机构	pijg
破除迷信	pimx
骗吃骗喝	piph
鹏程万里	piwl
排除万难	piwn
片甲不存	pjbc
片甲不留	pjbl
破茧成蝶	pjcd
破镜重圆	pjcy
破茧成蝶	pjid
破镜重圆	pjiy
破旧立新	pjlx
拼尽全力	pjql
牝鸡司晨	pjsc
牝鸡司晨	pjsi
抛家舍业	pjsy
否极泰来	pjtl
抛家舍业	pjuy
披荆斩棘	pjvj
披坚执锐	pjvr
平均主义	pjvy
炮舰外交	pjwj
破家县令	pjxl
披荆斩棘	pjzj
披坚执锐	pjzr
平均主义	pjzy
贫困地区	pkdq
贫困交加	pkjj
凭空捏造	pknz
怕苦怕累	pkpl
贫困人口	pkrk
皮开肉绽	pkrv
皮开肉绽	pkrz
纰漏百出	plbc
纰漏百出	plbi
破烂不堪	plbk
赔礼道歉	pldq
普罗大众	pldv
普罗大众	pldz
攀龙附凤	plff
扑了个空	plgk
拼了老命	pllm
噼里啪啦	plpl
跑来跑去	plpq
频来入梦	plrm
炮烙之刑	plvx
蒲柳之姿	plvz
皮里阳秋	plyq
瞟了一眼	plyy
炮烙之刑	plzx
蒲柳之姿	plzz
蓬门荜户	pmbh
盆满钵满	pmbm
平民百姓	pmbx
匹马单枪	pmdq
披麻戴孝	pmdx
破门而出	pmec
破门而出	pmei
扑面而来	pmel
破门而入	pmer
跑马观花	pmgh
拼命三郎	pmsl
旁门左道	pmzd
排难解纷	pnjf
跑哪去了	pnql
睥睨天下	pntx
平平安安	ppaa
蓬蓬勃勃	ppbb
偏旁部首	ppbs
偏旁部首	ppbu
拼拼凑凑	ppcc
平平常常	ppcc
平平淡淡	ppdd
频频点头	ppdt
瓢泼大雨	ppdy
仆仆风尘	ppfc
平平凡凡	ppff
仆仆风尘	ppfi
瓶瓶罐罐	ppgg
翩翩公子	ppgz
平平常常	ppii
平平静静	ppjj
批评教育	ppjy
漂漂亮亮	ppll
婆婆妈妈	ppmm
拍拍马屁	ppmp
拍拍屁股	pppg
噼噼啪啪	pppp
翩翩起舞	ppqw
飘飘若仙	pprx
爬坡上坎	ppsk
翩翩少年	ppsn
朴朴实实	ppss
普普通通	pptt
爬坡上坎	ppuk
翩翩少年	ppun
朴朴实实	ppuu
平铺直述	ppvu
批评指正	ppvv
平铺直叙	ppvx
泼皮无赖	ppwl
平平无奇	ppwq
平平稳稳	ppww
碰碰运气	ppyq
飘飘欲仙	ppyx
平铺直述	ppzs
劈啪作响	ppzx
平铺直叙	ppzx
批评指正	ppzz
平平仄仄	ppzz
旁敲侧击	pqcj
跑前跑后	pqph
平起平坐	pqpz
抛妻弃子	pqqz
迫切需要	pqxy
庞然大物	prdw
飘然而至	prev
飘然而至	prez
飘若浮云	prfy
判若鸿沟	prhg
翩若惊鸿	prjh
判若两人	prlr
翩然起舞	prqw
飘然若仙	prrx
皮肉之苦	prvk
旁若无人	prwr
怦然心动	prxd
判若云泥	pryn
皮肉之苦	przk
菩萨保佑	psby
拍手称快	psck
排山倒海	psdh
披霜带露	psdl
菩萨低眉	psdm
葡式蛋挞	psdt
拍手叫好	psjh
普世价值	psjz
平沙落雁	psly
扑朔迷离	psml
屁事没有	psmy
拼死拼活	psph
盘算盘算	psps
婆娑起舞	psqw
爬山涉水	psss
朴实无华	pswh
蹒跚学步	psxb
菩萨心肠	psxc
萍水相逢	psxf
菩萨心肠	psxi
拼死一搏	psyb
派上用场	psyc
胼手胝足	pszz
平头百姓	ptbx
破土动工	ptdg
泼天大祸	ptdh
滂沱大雨	ptdy
破土而出	ptec
破土而出	ptei
娉婷婀娜	pten
破涕而笑	ptex
铺天盖地	ptgd
劈头盖脸	ptgl
蓬头垢面	ptgm
劈头盖脑	ptgn
抛头露脸	ptll
抛头露面	ptlm
破铜烂铁	ptlt
品头论足	ptlz
娉婷袅娜	ptnn
扑通扑通	ptpt
偏听偏信	ptpx
评头品足	ptpz
披头散发	ptsf
普天同庆	pttq
平头正脸	ptvl
普天之下	ptvx
破涕为笑	ptwx
偏听则暗	ptza
平头正脸	ptzl
普天之下	ptzx
排山倒海	pudh
披霜带露	pudl
葡式蛋挞	pudt
拍手称快	puik
拍手叫好	pujh
普世价值	pujv
平沙落雁	puly
扑朔迷离	puml
屁事没有	pumy
爬山涉水	puuu
胼手胝足	puvz
朴实无华	puwh
蹒跚学步	puxb
萍水相逢	puxf
派上用场	puyi
皮之不存	pvbc
破绽百出	pvbi
旁征博引	pvby
品种繁多	pvfd
铺张浪费	pvlf
旁枝末节	pvmj
抛之脑后	pvnh
破竹之势	pvvu
片纸只字	pvvz
抛砖引玉	pvyy
片瓦不留	pwbl
颇为不易	pwby
破瓦寒窑	pwhy
片瓦无存	pwwc
脾胃虚弱	pwxr
盼望已久	pwyj
平稳运行	pwyx
郫县豆瓣	pxdb
披星戴月	pxdy
平心而论	pxel
盘膝而坐	pxez
婆媳关系	pxgx
平心静气	pxjq
品学兼优	pxjy
平行空间	pxkj
派系林立	pxll
培训培训	pxpx
旁系亲属	pxqs
旁系亲属	pxqu
咆哮如雷	pxrl
贫下中农	pxvn
偏信则暗	pxza
贫下中农	pxzn
疲于奔波	pybb
疲于奔命	pybm
颇有成效	pycx
喷涌而出	pyec
喷涌而出	pyei
漂洋过海	pygh
颇有成效	pyix
排忧解难	pyjn
平易近人	pyjr
破衣烂衫	pyls
破衣烂衫	pylu
培养培养	pypy
喷云吐雾	pytw
平庸之辈	pyvb
片言只语	pyvy
片言只字	pyvz
颇有微词	pywc
迫于无奈	pywn
拼音文字	pywz
旁逸斜出	pyxc
颇有心得	pyxd
旁逸斜出	pyxi
迫于形势	pyxs
迫于形势	pyxu
疲于应付	pyyf
平庸之辈	pyzb
拼音字母	pyzm
片言只语	pyzy
片言只字	pyzz
皮之不存	pzbc
破绽百出	pzbc
贫嘴薄舌	pzbs
贫嘴薄舌	pzbu
旁征博引	pzby
品种繁多	pzfd
贫嘴贱舌	pzjs
贫嘴贱舌	pzju
铺张浪费	pzlf
萍踪浪迹	pzlj
旁枝末节	pzmj
迫在眉睫	pzmj
抛之脑后	pznh
捧在手里	pzsl
捧在手心	pzsx
捧在手里	pzul
捧在手心	pzux
抛砖引玉	pzyy
破竹之势	pzzs
片纸只字	pzzz
乞哀告怜	qagl
弃暗投明	qatm
寝不安席	qbax
区别不大	qbbd
前半部分	qbbf
千般不好	qbbh
千杯不醉	qbbz
泣不成声	qbcs
七八点钟	qbdv
穷兵黩武	qbdw
七八点钟	qbdz
七八个人	qbgr
七八个月	qbgy
岂不怪哉	qbgz
取保候审	qbhs
取保候审	qbhu
泣不成声	qbiu
情比金坚	qbjj
岂不可惜	qbkx
拳不离手	qbls
拳不离手	qblu
岂不美哉	qbmz
奇不奇怪	qbqg
妻不如妾	qbrq
妾不如偷	qbrt
七八十岁	qbss
七八十岁	qbus
千遍万遍	qbwb
轻薄无礼	qbwl
七八月份	qbyf
祛病延年	qbyn
情不自禁	qbzj
情不自已	qbzy
千锤百炼	qcbl
倾巢出动	qccd
清茶淡饭	qcdf
强词夺理	qcdl
气沉丹田	qcdt
倾巢而出	qcec
轻车简从	qcjc
清澈见底	qcjd
浅尝即止	qcjz
气冲牛斗	qcnd
七尺男儿	qcne
青春年少	qcns
切磋切磋	qcqc
去粗取精	qcqj
群策群力	qcql
气喘如牛	qcrn
前程似锦	qcsj
轻车熟路	qcsl
青葱岁月	qcsy
切齿痛恨	qcth
轻财重义	qcvy
千穿万穿	qcwc
千错万错	qcwc
前尘往事	qcws
气冲霄汉	qcxh
七彩祥云	qcxy
前程远大	qcyd
青翠欲滴	qcyd
清脆悦耳	qcye
七彩阳光	qcyg
青出于蓝	qcyl
起承转合	qczh
前车之鉴	qczj
遣词造句	qczj
轻财重义	qczy
浅尝辄止	qczz
气度不凡	qdbf
情窦初开	qdck
屈打成招	qdcz
青灯古佛	qdgf
请多关照	qdgv
裙带关系	qdgx
请多关照	qdgz
恰到好处	qdhc
恰到好处	qdhi
青灯黄卷	qdhj
情窦初开	qdik
屈打成招	qdiv
拳打脚踢	qdjt
情到浓时	qdns
情到浓时	qdnu
期待期待	qdqd
前段时间	qdsj
气大伤身	qdss
气定神闲	qdsx
巧夺天工	qdtg
前段时间	qduj
气大伤身	qduu
气定神闲	qdux
请多指教	qdvj
千刀万剐	qdwg
千叮万嘱	qdwv
千叮万嘱	qdwz
期待已久	qdyj
气得要死	qdys
取大优先	qdyx
请多指教	qdzj
千儿八百	qebb
求而不得	qebd
锲而不舍	qebs
锲而不舍	qebu
取而代之	qedv
取而代之	qedz
妻儿老小	qelx
千恩万谢	qewx
起而行之	qexv
起而行之	qexz
轻而易举	qeyj
起伏不定	qfbd
千方百计	qfbj
起伏跌宕	qfdd
棋逢对手	qfds
棋逢对手	qfdu
情非得已	qfdy
秋风过耳	qfge
奇峰怪石	qfgs
奇峰怪石	qfgu
前赴后继	qfhj
勤奋好学	qfhx
前俯后仰	qfhy
千帆竞发	qfjf
凄风苦雨	qfky
凄风冷雨	qfly
清风明月	qfmy
欺负欺负	qfqf
恰逢其会	qfqh
秋风秋雨	qfqy
秋风瑟瑟	qfss
秋风送爽	qfss
秋风送爽	qfsu
千夫所指	qfsv
千夫所指	qfsz
气愤填膺	qfty
切肤之痛	qfvt
千分之一	qfvy
全副武装	qfwv
全副武装	qfwz
清风徐来	qfxl
秋风萧瑟	qfxs
确非易事	qfys
确非易事	qfyu
切肤之痛	qfzt
千分之一	qfzy
千古不变	qgbb
七拐八拐	qgbg
七拱八翘	qgbq
气个半死	qgbs
气贯长虹	qgch
乾纲独断	qgdd
全国第一	qgdy
全国各地	qggd
曲高和寡	qghg
去国怀乡	qghx
气贯长虹	qgih
千古绝唱	qgjc
穷根究底	qgjd
千古绝唱	qgji
清规戒律	qgjl
强弓劲弩	qgjn
前功尽弃	qgjq
勤工俭学	qgjx
清肝明目	qgmm
轻歌曼舞	qgmw
倾国倾城	qgqc
岂敢岂敢	qgqg
倾国倾城	qgqi
秋高气爽	qgqs
秋高气爽	qgqu
强干弱枝	qgrv
强干弱枝	qgrz
窃国者侯	qgvh
窃钩者诛	qgvv
旗鼓相当	qgxd
敲骨吸髓	qgxs
奇光异彩	qgyc
千古一帝	qgyd
抢购一空	qgyk
强弓硬弩	qgyn
棋高一着	qgyv
棋高一着	qgyz
其怪自败	qgzb
岂敢造次	qgzc
窃国者侯	qgzh
千古罪人	qgzr
窃钩者诛	qgzz
千锤百炼	qibl
清茶淡饭	qidf
气沉丹田	qidt
倾巢而出	qiei
倾巢出动	qiid
轻车简从	qijc
清澈见底	qijd
浅尝即止	qijv
气冲牛斗	qind
七尺男儿	qine
青春年少	qinu
气喘如牛	qirn
前程似锦	qisj
切齿痛恨	qith
轻车熟路	qiul
起承转合	qivh
前车之鉴	qivj
浅尝辄止	qivv
千穿万穿	qiwi
前尘往事	qiwu
气冲霄汉	qixh
前程远大	qiyd
青出于蓝	qiyl
气急败坏	qjbh
奇经八脉	qjbm
青筋暴起	qjbq
趋吉避凶	qjbx
勤俭持家	qjcj
倾家荡产	qjdc
屈居第二	qjde
倾家荡产	qjdi
缺斤短两	qjdl
穷家富路	qjfl
全军覆没	qjfm
抢尽风头	qjft
前几个月	qjgy
前脚刚走	qjgz
前倨后恭	qjhg
勤俭持家	qjij
情景交融	qjjr
勤俭节约	qjjy
轻解罗裳	qjls
轻解罗裳	qjlu
勤加练习	qjlx
千金买骨	qjmg
千金买笑	qjmx
强奸民意	qjmy
千金难求	qjnq
切记切记	qjqj
倾尽全力	qjql
其疾如风	qjrf
请君入瓮	qjrw
缺斤少两	qjsl
七局四胜	qjss
七局四胜	qjsu
气绝身亡	qjsw
弃旧图新	qjtx
曲径通幽	qjty
缺斤少两	qjul
气绝身亡	qjuw
千斤重担	qjvd
千钧重负	qjvf
齐家治国	qjvg
秦晋之好	qjvh
情急智生	qjvu
情急之下	qjvx
欺君之罪	qjvz
轻举妄动	qjwd
千家万户	qjwh
穷极无聊	qjwl
千军万马	qjwm
欺君罔上	qjws
欺君罔上	qjwu
迄今为止	qjwv
清静无为	qjww
迄今为止	qjwz
千金小姐	qjxj
齐集于此	qjyc
千军易得	qjyd
千钧一发	qjyf
千金一诺	qjyn
奇技淫巧	qjyq
强加于人	qjyr
齐聚一堂	qjyt
千金一掷	qjyv
琼浆玉液	qjyy
千金一掷	qjyz
千斤重担	qjzd
千钧重负	qjzf
齐家治国	qjzg
秦晋之好	qjzh
情急智生	qjzs
情急之下	qjzx
欺君之罪	qjzz
轻口薄舌	qkbs
轻口薄舌	qkbu
清可见底	qkjd
穷寇莫追	qkmv
穷寇莫追	qkmz
晴空霹雳	qkpl
穷苦人家	qkrj
顷刻之间	qkvj
晴空万里	qkwl
穷寇勿追	qkwv
穷寇勿追	qkwz
顷刻之间	qkzj
曲里八拐	qlbg
趋利避害	qlbh
七零八落	qlbl
七老八十	qlbs
七零八碎	qlbs
七老八十	qlbu
秦楼楚馆	qlcg
敲锣打鼓	qldg
其利断金	qldj
枪林弹雨	qldy
千里鹅毛	qlem
曲里拐弯	qlgw
秦楼楚馆	qlig
嘁哩喀喳	qlkc
嘁哩喀喳	qlki
去留两难	qlln
清理门户	qlmh
亲力亲为	qlqw
其乐融融	qlrr
千里同风	qltf
清丽脱俗	qlts
千里迢迢	qltt
千里之堤	qlvd
骑驴找马	qlvm
情理之中	qlvv
千里之行	qlvx
其乐无穷	qlwq
群龙无首	qlws
群龙无首	qlwu
歧路亡羊	qlwy
全力以赴	qlyf
琼楼玉宇	qlyy
千里之堤	qlzd
骑驴找马	qlzm
妻离子散	qlzs
千里之行	qlzx
情理之中	qlzz
其貌不扬	qmby
轻描淡写	qmdx
全面发展	qmfv
全面发展	qmfz
全面贯彻	qmgc
全面贯彻	qmgi
亲密接触	qmjc
亲密接触	qmji
勤勉尽责	qmjz
群魔乱舞	qmlw
去没去过	qmqg
启蒙思想	qmsx
犬马之劳	qmvl
青梅竹马	qmvm
其鸣也哀	qmya
阡陌纵横	qmzh
犬马之劳	qmzl
青梅竹马	qmzm
欺男霸女	qnbn
勤能补拙	qnbv
勤能补拙	qnbz
青年才俊	qncj
轻诺寡信	qngx
千年老妖	qnly
轻拿轻放	qnqf
去年同期	qntq
强弩之末	qnvm
七年之痒	qnvy
千年王八	qnwb
其奈我何	qnwh
千难万难	qnwn
千难万险	qnwx
千难万阻	qnwz
倾囊相授	qnxs
倾囊相授	qnxu
迁怒于人	qnyr
情难自禁	qnzj
强弩之末	qnzm
七年之痒	qnzy
七拼八凑	qpbc
七平八稳	qpbw
倾盆大雨	qpdy
全盘否定	qpfd
前仆后继	qphj
亲朋好友	qphy
全盘皆输	qpjs
全盘皆输	qpju
枪炮齐鸣	qpqm
拳怕少壮	qpsz
全票通过	qptg
拳怕少壮	qpuv
全盘西化	qpxh
千篇一律	qpyl
期期艾艾	qqaa
七七八八	qqbb
千奇百怪	qqbg
崎岖不平	qqbp
凄凄惨惨	qqcc
清清楚楚	qqcc
妻妾成群	qqcq
区区此心	qqcx
权倾朝野	qqcy
全权代表	qqdb
敲敲打打	qqdd
群情鼎沸	qqdf
千秋大业	qqdy
牵强附会	qqfh
奇奇怪怪	qqgg
强取豪夺	qqhd
前前后后	qqhh
清清楚楚	qqii
妻妾成群	qqiq
权倾朝野	qqiy
群情激昂	qqja
群情激奋	qqjf
茕茕孑立	qqjl
权钱交易	qqjy
谦谦君子	qqjz
勤勤恳恳	qqkk
强强联合	qqlh
起起落落	qqll
强强联手	qqls
强强联手	qqlu
七窍流血	qqlx
七情六欲	qqly
亲戚朋友	qqpy
亲亲热热	qqrr
全取三分	qqsf
琴棋书画	qqsh
轻轻松松	qqss
确确实实	qqss
七窍生烟	qqsy
窃窃私语	qqsy
全情投入	qqtr
琴棋书画	qquh
确确实实	qquu
七窍生烟	qquy
曲曲折折	qqvv
乔迁之喜	qqvx
千秋万代	qqwd
千秋万岁	qqws
千千万万	qqww
千秋伟业	qqwy
千秋万载	qqwz
恰恰相反	qqxf
区区小事	qqxs
区区小事	qqxu
求全责备	qqzb
乔迁之喜	qqzx
曲曲折折	qqzz
弃若敝履	qrbl
求仁得仁	qrdr
沁人肺腑	qrff
亲如骨肉	qrgr
轻如鸿毛	qrhm
欺软怕硬	qrpy
恰如其分	qrqf
强人所难	qrsn
亲如手足	qrsz
欺人太甚	qrts
欺人太甚	qrtu
亲如手足	qruz
齐人之福	qrvf
沁人心脾	qrxp
千人一面	qrym
气若游丝	qrys
杞人忧天	qryt
确认一下	qryx
齐人之福	qrzf
寝食不安	qsba
求生不得	qsbd
求神拜佛	qsbf
青山不改	qsbg
七死八活	qsbh
求死不能	qsbn
禽兽不如	qsbr
前事不忘	qsbw
七上八下	qsbx
欺世盗名	qsdm
七十二变	qseb
七十二行	qseh
螓首蛾眉	qsem
穷山恶水	qses
全身而退	qset
囚首垢面	qsgm
亲生骨肉	qsgr
七十古稀	qsgx
全神贯注	qsgz
气势恢宏	qshh
起死回生	qshs
起死回生	qshu
前思后想	qshx
亲身经历	qsjl
穷奢极欲	qsjy
切实可行	qskx
青史留名	qslm
切身利益	qsly
欺上瞒下	qsmx
奇思妙想	qsmx
欺师灭祖	qsmz
寝食难安	qsna
七十年代	qsnd
其实难副	qsnf
气势磅礴	qspb
欺善怕恶	qspe
琴瑟琵琶	qspp
翘首盼望	qspw
轻手轻脚	qsqj
怯声怯气	qsqq
气势如虹	qsrh
强手如林	qsrl
情深似海	qssh
情随事迁	qssq
全胜时期	qssq
欺霜赛雪	qssx
切身体会	qsth
漆身吞炭	qstt
情随事迁	qsuq
求神问卜	qswb
前所未见	qswj
千丝万缕	qswl
千山万水	qsws
前所未闻	qsww
欺上罔下	qswx
气煞我也	qswy
前所未有	qswy
轻声细语	qsxy
轻松写意	qsxy
翘首以待	qsyd
气数已尽	qsyj
轻松愉快	qsyk
清水衙门	qsym
翘首以盼	qsyp
情深缘浅	qsyq
情深义重	qsyz
轻松自如	qszr
青天白日	qtbr
亲痛仇快	qtck
求同存异	qtcy
蜻蜓点水	qtds
蜻蜓点水	qtdu
奇谈怪论	qtgl
清汤挂面	qtgm
情同骨肉	qtgr
清汤寡水	qtgs
清汤寡水	qtgu
前凸后翘	qthq
亲痛仇快	qtik
情同姐妹	qtjm
囚徒困境	qtkj
去他妈的	qtmd
穷途末路	qtml
去他娘的	qtnd
晴天霹雳	qtpl
掐头去尾	qtqw
全体人员	qtry
青铜时代	qtsd
气吞山河	qtsh
情同手足	qtsz
前提条件	qttj
青铜时代	qtud
气吞山河	qtuh
情同手足	qtuz
前途未卜	qtwb
前途无量	qtwl
千头万绪	qtwx
寝食不安	quba
求生不得	qubd
求神拜佛	qubf
青山不改	qubg
禽兽不如	qubr
前事不忘	qubw
七上八下	qubx
欺世盗名	qudm
七十二变	queb
七十二行	queh
螓首蛾眉	quem
全身而退	quet
穷山恶水	queu
囚首垢面	qugm
亲生骨肉	qugr
全神贯注	qugv
七十古稀	qugx
气势恢宏	quhh
亲身经历	qujl
穷奢极欲	qujy
切实可行	qukx
青史留名	qulm
切身利益	quly
欺上瞒下	qumx
欺师灭祖	qumz
寝食难安	quna
七十年代	qund
其实难副	qunf
气势磅礴	qupb
欺善怕恶	qupe
翘首盼望	qupw
轻手轻脚	quqj
怯声怯气	quqq
气势如虹	qurh
强手如林	qurl
情深似海	qush
欺霜赛雪	qusx
切身体会	quth
漆身吞炭	qutt
全胜时期	quuq
求神问卜	quwb
千山万水	quwu
欺上罔下	quwx
气煞我也	quwy
轻声细语	quxy
翘首以待	quyd
气数已尽	quyj
清水衙门	quym
翘首以盼	quyp
情深缘浅	quyq
情深义重	quyv
勤政爱民	qvam
求之不得	qvbd
却之不恭	qvbg
取之不尽	qvbj
七折八扣	qvbk
穷追不舍	qvbu
弃之不用	qvby
强制措施	qvcu
乔装打扮	qvdb
浅斟低唱	qvdi
轻重倒置	qvdv
枪支弹药	qvdy
齐抓共管	qvgg
前瞻后顾	qvhg
轻重缓急	qvhj
欠债还钱	qvhq
秦砖汉瓦	qvhw
轻装简从	qvjc
屈指可数	qvku
弃之可惜	qvkx
清正廉洁	qvlj
清正廉明	qvlm
敲诈勒索	qvls
群众路线	qvlx
穷追猛打	qvmd
罄竹难书	qvnu
全知全能	qvqn
且战且退	qvqt
气壮如牛	qvrn
曲终人散	qvrs
趋之若鹜	qvrw
情之所钟	qvsv
切中时弊	qvub
气壮山河	qvuh
起止时间	qvuj
缺肢少腿	qvut
轻装上阵	qvuv
其中之一	qvvy
千真万确	qvwq
求真务实	qvwu
曲折蜿蜒	qvwy
旗帜鲜明	qvxm
奇珍异宝	qvyb
取之有道	qvyd
奇装异服	qvyf
其中一个	qvyg
切中要害	qvyh
取之于民	qvym
情真意切	qvyq
掐指一算	qvys
清者自清	qvzq
七弯八拐	qwbg
情文并茂	qwbm
七歪八扭	qwbn
千万不要	qwby
去芜存菁	qwcj
去伪存真	qwcv
去伪存真	qwcz
请勿打扰	qwdr
前无古人	qwgr
奇文共赏	qwgs
奇文共赏	qwgu
趣味横生	qwhs
趣味横生	qwhu
千万千万	qwqw
权威人士	qwrs
权威人士	qwru
全无是处	qwsc
悄无声息	qwsx
全无是处	qwui
悄无声息	qwux
其味无穷	qwwq
全无心肝	qwxg
趣味相投	qwxt
趣闻轶事	qwys
趣闻轶事	qwyu
其心必异	qxby
群星璀璨	qxcc
情绪低落	qxdl
牵线搭桥	qxdq
群雄割据	qxgj
奇形怪状	qxgv
清心寡欲	qxgy
奇形怪状	qxgz
齐心合力	qxhl
勤学好问	qxhw
情绪激动	qxjd
穷凶极恶	qxje
曲线救国	qxjg
谦虚谨慎	qxjs
谦虚谨慎	qxju
穷形极相	qxjx
抢险救灾	qxjz
清晰可见	qxkj
勤学苦练	qxkl
其心可诛	qxkv
其心可诛	qxkz
欺下瞒上	qxms
欺下瞒上	qxmu
穷乡僻壤	qxpr
穷乡僻野	qxpy
全心全意	qxqy
求贤若渴	qxrk
其臭如兰	qxrl
缺心少肺	qxsf
勤学善思	qxss
全校师生	qxss
清新脱俗	qxts
缺心少肺	qxuf
勤学善思	qxus
全校师生	qxuu
裙下之臣	qxvi
群雄逐鹿	qxvl
潜心专研	qxvy
千辛万苦	qxwk
气象万千	qxwq
确信无疑	qxwy
齐心协力	qxxl
抢先一步	qxyb
浅显易懂	qxyd
缺心眼儿	qxye
取信于民	qxym
巧笑嫣然	qxyr
泉下有知	qxyv
气息奄奄	qxyy
泉下有知	qxyz
裙下之臣	qxzc
群雄逐鹿	qxzl
潜心专研	qxzy
轻徭薄赋	qybf
缺一不可	qybk
千依百顺	qybs
